"removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle","tag","date_challenged","year_challenged","month_challenged","challenge_n"
0,1,-8.8,0,-4.26195786864932,1,1984,"Pullman, Philip","AR",0,-6258.5,-7.32372986369269,690,0,1,0,0,"White Mercedes, The","not_rmvd",2001-11-21,2001,11,1
0,1,-8.8,0,-4.26195786864932,0,868,"Rowling, J.K.","AR",0,-6258.5,-7.32372986369269,325,1,0,0,1,"Harry Potter (series)","not_rmvd",2000-11-21,2000,11,1
0,0,-8.8,1,-4.26195786864932,0,178,"McDaniel, Lurlene","AR",0,-6258.5,-7.32372986369269,3197,0,0,0,0,"Baby Alicia is Dying","not_rmvd",2008-10-02,2008,10,1
0,0,-8.8,0,-4.26195786864932,0,1739,"Greene, Bette","AR",0,-6258.5,-7.32372986369269,828,0,1,0,0,"Summer of My German Soldier","not_rmvd",2002-04-08,2002,4,1
0,0,-8.8,0,-4.26195786864932,0,1739,"Greene, Bette","AR",0,-6258.5,-7.32372986369269,480,0,1,0,0,"Summer of My German Soldier","not_rmvd",2001-04-25,2001,4,1
1,0,-6.1,0,1.43804213135068,0,1971,"Voight, Cynthia","AZ",0,3490.5,-0.52372986369269,2838,0,1,0,1,"When She Hollers","rmvd",2007-10-09,2007,10,1
1,0,-6.1,0,1.43804213135068,1,1684,"Anderson, Laurie Halse","AZ",0,3490.5,-0.52372986369269,480,0,1,0,1,"Speak","rmvd",2001-04-25,2001,4,1
0,0,-6.1,0,1.43804213135068,0,1951,"Sones, Sonya","AZ",0,3490.5,-0.52372986369269,1748,0,1,0,0,"What My Mother Doesn<U+0092>t Know","not_rmvd",2004-10-14,2004,10,1
0,0,-6.1,0,1.43804213135068,1,695,"Abner, Allison","AZ",0,3490.5,-0.52372986369269,871,0,0,0,0,"Finding Our Way--The Teen Girl Survival Guide","not_rmvd",2002-05-21,2002,5,1
1,0,-6.1,0,1.43804213135068,1,516,"Drill, Esther","AZ",0,3490.5,-0.52372986369269,1800,0,0,0,0,"Deal With It!","rmvd",2004-12-05,2004,12,1
1,0,-6.1,0,1.43804213135068,1,6,"Orwell, George","AZ",0,3490.5,-0.52372986369269,847,0,0,0,0,"1984","rmvd",2002-04-27,2002,4,1
0,0,-6.1,1,1.43804213135068,1,2057,"Togashi, Yoshihiro","AZ",0,3490.5,-0.52372986369269,3240,0,0,0,1,"Yu Yu Hakusho (series)","not_rmvd",2008-11-14,2008,11,1
0,1,-6.1,0,1.43804213135068,1,101,"Naylor, Phyllis Reynolds","AZ",0,3490.5,-0.52372986369269,1455,0,0,0,0,"Alice on the Outside","not_rmvd",2003-12-26,2003,12,1
1,0,-6.1,0,1.43804213135068,1,196,"Allison, Dorothy","AZ",0,3490.5,-0.52372986369269,982,0,0,0,0,"Bastard Out of Carolina","rmvd",2002-09-09,2002,9,1
0,0,-6.1,1,1.43804213135068,0,1559,"Codell, Esme Rajo","AZ",0,3490.5,-0.52372986369269,3685,0,1,0,0,"Sahara Special","not_rmvd",2010-02-02,2010,2,1
0,0,-6.1,1,1.43804213135068,0,1660,"Palahniuk, Chuck","AZ",0,3490.5,-0.52372986369269,3240,0,0,0,0,"Snuff","not_rmvd",2008-11-14,2008,11,1
0,0,-6.1,0,1.43804213135068,0,158,"Bellesiles, Michael","AZ",0,3490.5,-0.52372986369269,2418,0,0,0,0,"Arming America","not_rmvd",2006-08-15,2006,8,1
1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",1,10119,2.57627013630731,1705,0,1,0,1,"Always Running","rmvd",2004-09-01,2004,9,1
0,0,7.4,0,-2.76195786864932,1,148,"Rennison, Louise","CA",1,10119,2.57627013630731,1917,0,1,0,0,"Angus, Thongs, and Full Frontal Snogging","not_rmvd",2005-04-01,2005,4,1
1,0,7.4,0,-2.76195786864932,0,727,"Muten, Burleigh","CA",0,10119,2.57627013630731,1697,1,0,0,0,"Goddesses: A World of Myth and Magic","rmvd",2004-08-24,2004,8,1
0,0,7.4,1,-2.76195786864932,1,759,"Peters, Julie Anne","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Grl2grl","not_rmvd",2009-08-09,2009,8,1
0,0,7.4,1,-2.76195786864932,0,1275,"Garden, Nancy","CA",1,10119,2.57627013630731,3200,0,0,1,0,"Molly's Family","not_rmvd",2008-10-05,2008,10,1
0,0,7.4,0,-2.76195786864932,1,1635,"Miller, Frank","CA",0,10119,2.57627013630731,2399,0,0,0,1,"Sin City","not_rmvd",2006-07-27,2006,7,1
0,0,7.4,0,-2.76195786864932,0,1789,"Springer, Nancy","CA",0,10119,2.57627013630731,2040,0,1,0,1,"They're All Named Wildfire","not_rmvd",2005-08-02,2005,8,1
0,0,7.4,0,-2.76195786864932,0,436,"Chapman, Dawn","CA",0,10119,2.57627013630731,1697,0,0,0,0,"Cool Women","not_rmvd",2004-08-24,2004,8,1
0,0,7.4,0,-2.76195786864932,0,1493,"Harkness, Cheryl","CA",0,10119,2.57627013630731,1697,0,0,0,0,"Rabble Rousers","not_rmvd",2004-08-24,2004,8,1
0,0,7.4,0,-2.76195786864932,0,1076,"Lewis, Barbara","CA",1,10119,2.57627013630731,1696,0,0,0,0,"Kid's Guide to Social Action","not_rmvd",2004-08-23,2004,8,1
0,0,7.4,0,-2.76195786864932,0,1145,"Bannerman, Helen","CA",0,10119,2.57627013630731,1557,0,0,0,0,"Little Black Sambo","not_rmvd",2004-04-06,2004,4,1
1,0,7.4,1,-2.76195786864932,0,2049,"Wells, Rosemary","CA",0,10119,2.57627013630731,3483,0,0,0,0,"Yoko","rmvd",2009-07-15,2009,7,1
0,0,7.4,1,-2.76195786864932,0,1555,"Corinna, Heather","CA",0,10119,2.57627013630731,3508,0,0,0,0,"S.E.X.:  The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School","not_rmvd",2009-08-09,2009,8,1
0,1,7.4,1,-2.76195786864932,0,143,"Parnell, Peter and Justin Richardson","CA",0,10119,2.57627013630731,3200,0,0,1,0,"And Tango Makes Three","not_rmvd",2008-10-05,2008,10,1
0,0,7.4,0,-2.76195786864932,0,562,"Wright, Betty","CA",0,10119,2.57627013630731,1697,0,0,0,1,"Doll House Murders","not_rmvd",2004-08-24,2004,8,1
0,1,7.4,0,-2.76195786864932,1,958,"Angelou, Maya","CA",0,10119,2.57627013630731,1696,0,0,0,1,"I Know Why the Caged Bird Sings","not_rmvd",2004-08-23,2004,8,1
0,0,7.4,0,-2.76195786864932,0,975,"Smith, David","CA",1,10119,2.57627013630731,1696,0,0,0,0,"If the World Were a Village","not_rmvd",2004-08-23,2004,8,1
0,0,7.4,0,-2.76195786864932,1,1845,"Nathanson, Laura","CA",0,10119,2.57627013630731,1341,0,0,0,0,"Trouble With Wednesdays, The","not_rmvd",2003-09-03,2003,9,1
0,0,7.4,0,-2.76195786864932,1,1928,"Mowry, Jess","CA",0,10119,2.57627013630731,1026,0,1,0,0,"Way Past Cool","not_rmvd",2002-10-23,2002,10,1
0,0,7.4,0,-2.76195786864932,0,1814,"Healey, Tim","CA",0,10119,2.57627013630731,480,0,0,0,1,"Timespan Spies","not_rmvd",2001-04-25,2001,4,1
0,0,7.4,0,-2.76195786864932,0,1151,"Anderson, Hans Christian","CA",0,10119,2.57627013630731,175,0,0,0,1,"Little Mermaid, The","not_rmvd",2000-06-24,2000,6,1
1,0,7.4,1,-2.76195786864932,1,1473,"Sittenfeld, Curtis","CA",0,10119,2.57627013630731,3220,0,0,0,0,"Prep","rmvd",2008-10-25,2008,10,1
1,0,7.4,1,-2.76195786864932,0,252,"Anaya, Rudolfo","CA",0,10119,2.57627013630731,3214,0,0,0,0,"Bless Me, Ultima","rmvd",2008-10-19,2008,10,1
1,0,7.4,0,-2.76195786864932,0,942,"Camacho, Julian Segura","CA",0,10119,2.57627013630731,3143,0,0,0,0,"Huevos y la Mujer Latina","rmvd",2008-08-09,2008,8,1
1,0,7.4,0,-2.76195786864932,0,898,"Camacho, Julian Segura","CA",0,10119,2.57627013630731,3142,0,0,0,0,"Higher Education as Ignorance","rmvd",2008-08-08,2008,8,1
1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",0,10119,2.57627013630731,1800,0,0,0,1,"Always Running","rmvd",2004-12-05,2004,12,1
1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",0,10119,2.57627013630731,1749,0,0,0,1,"Always Running","rmvd",2004-10-15,2004,10,1
0,0,7.4,1,-2.76195786864932,0,1067,"Mathabane, Mark","CA",0,10119,2.57627013630731,3875,0,1,0,0,"Kaffir Boy","not_rmvd",2010-08-11,2010,8,1
0,0,7.4,1,-2.76195786864932,0,739,"Levithan, David (ed.) and Billy Merrell (ed.)","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Full Spectrum:  A New Generation of Writing About Gay, Lesbian, Bisexual, Transgender, Questioning, and Other Identities, The","not_rmvd",2009-08-09,2009,8,1
0,0,7.4,1,-2.76195786864932,0,881,"Garden, Nancy","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Hear Us Out:  Lesbian and Gay Stories of Struggle, Progress, and Hope","not_rmvd",2009-08-09,2009,8,1
0,0,7.4,1,-2.76195786864932,0,1834,"Beam, Chris","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Transparent:  Love, Family, and Living the T with Transgender Teenagers","not_rmvd",2009-08-09,2009,8,1
0,1,7.4,0,-2.76195786864932,0,143,"Parnell, Peter and Justin Richardson","CA",1,10119,2.57627013630731,2770,0,0,1,0,"And Tango Makes Three","not_rmvd",2007-08-02,2007,8,1
0,0,7.4,0,-2.76195786864932,1,1892,"Yolen, Jane and Martin H. Greenberg","CA",0,10119,2.57627013630731,2759,0,0,0,0,"Vampires","not_rmvd",2007-07-22,2007,7,1
0,0,7.4,0,-2.76195786864932,0,2019,"Barth, Edna","CA",0,10119,2.57627013630731,1697,1,0,0,0,"Witches, Pumpkins and Grinning Ghosts","not_rmvd",2004-08-24,2004,8,1
0,0,7.4,0,-2.76195786864932,1,567,"Haddix, Margaret Peterson","CA",0,10119,2.57627013630731,1560,0,1,0,0,"Don't You Dare Read This, Mrs. Dunphrey","not_rmvd",2004-04-09,2004,4,1
0,1,7.4,0,-2.76195786864932,1,958,"Angelou, Maya","CA",0,10119,2.57627013630731,480,0,1,0,0,"I Know Why the Caged Bird Sings","not_rmvd",2001-04-25,2001,4,1
0,0,7.4,0,-2.76195786864932,1,1661,"Watkins, Yoko Kawashima","CA",0,10119,2.57627013630731,294,0,0,0,1,"So Far From the Bamboo Grove","not_rmvd",2000-10-21,2000,10,1
0,0,7.4,0,-2.76195786864932,0,757,"Cooper, Susan","CA",0,10119,2.57627013630731,52,1,0,0,1,"Grey King, The","not_rmvd",2000-02-22,2000,2,1
1,0,7.4,1,-2.76195786864932,0,1250,"Merriam-Webster","CA",0,10119,2.57627013630731,3632,0,1,0,0,"Merriam-Webster's Collegiate Dictionary, 10th Collegiate Edition","rmvd",2009-12-11,2009,12,1
1,0,7.4,0,-2.76195786864932,0,1761,NA,"CA",0,10119,2.57627013630731,1800,0,0,0,0,"Technical Date on the Shasta Dam","rmvd",2004-12-05,2004,12,1
1,0,7.4,0,-2.76195786864932,0,567,"Haddix, Margaret Peterson","CA",0,10119,2.57627013630731,1426,0,1,0,0,"Don't You Dare Read This, Mrs. Dunphrey","rmvd",2003-11-27,2003,11,1
1,0,7.4,0,-2.76195786864932,0,1156,NA,"CA",0,10119,2.57627013630731,420,0,0,1,0,"Lives of Notable Gay Men and Lesbians","rmvd",2001-02-24,2001,2,1
1,0,7.4,0,-2.76195786864932,0,179,"Block, Francesca Lia","CA",0,10119,2.57627013630731,120,0,0,1,0,"Baby Be-Bop","rmvd",2000-04-30,2000,4,1
1,0,7.4,0,-2.76195786864932,1,1063,"Klein, Norma","CA",0,10119,2.57627013630731,120,0,0,0,0,"Just Friends","rmvd",2000-04-30,2000,4,1
1,0,7.4,0,-2.76195786864932,0,1491,"Anthony, Piers","CA",0,10119,2.57627013630731,120,1,0,0,0,"Question Quest","rmvd",2000-04-30,2000,4,1
0,0,7.4,1,-2.76195786864932,0,1828,"Boyle, T.C.","CA",0,10119,2.57627013630731,3801,0,0,0,0,"Torilla Curtain","not_rmvd",2010-05-29,2010,5,1
0,0,7.4,1,-2.76195786864932,1,977,"Reynolds, Marilyn","CA",0,10119,2.57627013630731,3301,0,0,0,0,"If You Loved Me","not_rmvd",2009-01-14,2009,1,1
0,0,7.4,0,-2.76195786864932,0,477,"McCormick, Patricia","CA",0,10119,2.57627013630731,1738,0,0,0,0,"Cut","not_rmvd",2004-10-04,2004,10,1
0,0,7.4,0,-2.76195786864932,0,303,"Sachar, Louis","CA",0,10119,2.57627013630731,1452,0,1,0,0,"Boy Who Lost His Face, The","not_rmvd",2003-12-23,2003,12,1
0,0,7.4,0,-2.76195786864932,0,301,"Greene, Shep","CA",0,10119,2.57627013630731,480,0,0,0,0,"Boy Who Drank Too Much, The","not_rmvd",2001-04-25,2001,4,1
0,0,-0.2,0,7.33804213135069,1,1775,"Hinton, S.E.","CO",0,10346.5,8.67627013630731,1440,0,1,0,1,"Tex","not_rmvd",2003-12-11,2003,12,1
1,0,-0.2,0,7.33804213135069,0,2002,"Mayle, Peter","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Will I Go To Heaven","rmvd",2003-11-27,2003,11,1
0,0,-0.2,1,7.33804213135069,1,166,"Arellano, Gustavo","CO",0,10346.5,8.67627013630731,3490,0,1,0,0,"Ask a Mexican","not_rmvd",2009-07-22,2009,7,1
0,0,-0.2,0,7.33804213135069,1,1094,"Koehler, W.R.","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Koehler Method of Dog Training, The","not_rmvd",2004-12-05,2004,12,1
1,0,-0.2,0,7.33804213135069,0,628,"Ryan, Sara","CO",0,10346.5,8.67627013630731,1440,0,1,1,0,"Empress of the World","rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,1,1738,"Hentley, James A.","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Summer Country, The","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,1,470,"King, Steven","CO",0,10346.5,8.67627013630731,1440,0,0,0,1,"Cujo","not_rmvd",2003-12-11,2003,12,1
0,1,-0.2,0,7.33804213135069,1,1772,"Cormier, Robert","CO",0,10346.5,8.67627013630731,1440,0,0,0,1,"Tenderness","not_rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,1,985,"Haines, Lise","CO",0,10346.5,8.67627013630731,1426,0,1,1,0,"In My Sister's Country","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,1,1481,"Stern, Howard","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"Private Parts","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,1,280,"Crumb, R.","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Book of Mr. Natural","not_rmvd",2003-11-26,2003,11,1
1,1,-0.2,0,7.33804213135069,0,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2051,0,0,0,0,"Bluest Eye, The","rmvd",2005-08-13,2005,8,1
1,1,-0.2,0,7.33804213135069,1,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2040,0,0,0,0,"Bluest Eye, The","rmvd",2005-08-02,2005,8,1
1,0,-0.2,0,7.33804213135069,0,86,"de Saint Phalle, Niki","CO",0,10346.5,8.67627013630731,1443,0,0,0,0,"AIDS: You Can't Catch it Holding Hands","rmvd",2003-12-14,2003,12,1
1,0,-0.2,0,7.33804213135069,1,42,"Johnson, Anthony Godby","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"A Rock and a Hard Place","rmvd",2003-11-26,2003,11,1
1,0,-0.2,0,7.33804213135069,1,528,"Morris, Johnny","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Delilah","rmvd",2003-11-26,2003,11,1
0,1,-0.2,1,7.33804213135069,1,214,"Morrison, Toni","CO",0,10346.5,8.67627013630731,3876,0,0,0,0,"Beloved","not_rmvd",2010-08-12,2010,8,1
0,0,-0.2,1,7.33804213135069,1,13,"Gloeckner, Phoebe","CO",0,10346.5,8.67627013630731,3490,0,0,0,1,"A Child's Life","not_rmvd",2009-07-22,2009,7,1
0,0,-0.2,1,7.33804213135069,1,1877,"Davidson, Mary Janice","CO",0,10346.5,8.67627013630731,3490,0,1,0,0,"Undead and Unworthy","not_rmvd",2009-07-22,2009,7,1
0,0,-0.2,0,7.33804213135069,0,1872,"Brannen, Sarah S.","CO",0,10346.5,8.67627013630731,3080,0,0,1,0,"Uncle Bobby's Wedding","not_rmvd",2008-06-07,2008,6,1
0,0,-0.2,0,7.33804213135069,0,439,"Gavin, Jamila","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Coram Boy","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,445,"Wolf, Bernard","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Cowboy","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,742,"Mark, Jan & Bayley, Nicola","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Fun with Mrs. Thumb","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,148,"Rennison, Louise","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Angus, Thongs, and Full Frontal Snogging","not_rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,1,488,"Plummer, Louise","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Dance for Three","not_rmvd",2003-12-11,2003,12,1
0,1,-0.2,0,7.33804213135069,1,712,"Blume, Judy","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Forever","not_rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,0,1684,"Anderson, Laurie Halse","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Speak","not_rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,1,1745,"William, Kate","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Sweet Valley High Series","not_rmvd",2003-12-11,2003,12,1
0,0,-0.2,0,7.33804213135069,1,925,"Marsh, Jean","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"House of Eliott","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,0,1276,"Cole, Babette","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Mommy Laid an Egg","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,0,1490,"Okuda, Hitoshi","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Quest for More Money","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,1,1827,"Reese, Laura","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Topping From Below","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,0,1962,"Johnson, Kevin and James R. White","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"What's With the Dudes at the Door?","not_rmvd",2003-11-27,2003,11,1
0,0,-0.2,0,7.33804213135069,1,122,"James, Jamie","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Am I Weird or Is This Normal?","not_rmvd",2003-11-26,2003,11,1
0,0,-0.2,0,7.33804213135069,0,215,"Berenstein, Stan and Jan","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Berenstein Bears and the Bully","not_rmvd",2003-11-26,2003,11,1
0,0,-0.2,0,7.33804213135069,0,484,"Willhoite, Michael","CO",0,10346.5,8.67627013630731,1425,0,0,1,0,"Daddy's Roommate","not_rmvd",2003-11-26,2003,11,1
0,0,-0.2,0,7.33804213135069,1,498,"Juno, Andrea","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Dangerous Drawings","not_rmvd",2003-11-26,2003,11,1
0,0,-0.2,0,7.33804213135069,1,932,"Wabbes, Marie","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"How I Was Born","not_rmvd",2003-11-26,2003,11,1
1,1,-0.2,0,7.33804213135069,1,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2352,0,0,0,0,"Bluest Eye, The","rmvd",2006-06-10,2006,6,1
1,0,-0.2,0,7.33804213135069,0,1033,"Winks, Cathy","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"New Good Vibrations Guide to Sex","rmvd",2003-11-27,2003,11,1
1,0,-0.2,0,7.33804213135069,0,1705,"Page, Jake","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"Stolen Gods","rmvd",2003-11-27,2003,11,1
0,0,-0.2,NA,7.33804213135069,0,297,"Levithan, David","CO",0,10346.5,8.67627013630731,NA,0,0,1,0,"Boy Meets Boy","not_rmvd",NA,NA,NA,1
0,0,-0.2,1,7.33804213135069,0,1524,"Cronin, Doreen","CO",0,10346.5,8.67627013630731,3904,0,0,0,1,"Rescue Bunnies","not_rmvd",2010-09-09,2010,9,1
0,0,-0.2,1,7.33804213135069,0,356,"Pilkey, Dav","CO",0,10346.5,8.67627013630731,3876,0,1,0,0,"Captain Underpants","not_rmvd",2010-08-12,2010,8,1
0,0,-0.2,1,7.33804213135069,0,51,"Hamilton, Laurell K.","CO",1,10346.5,8.67627013630731,3490,0,0,0,0,"A Stroke of Midnight","not_rmvd",2009-07-22,2009,7,1
0,0,-0.2,0,7.33804213135069,0,127,"Steig, William","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Amazing Bone, The","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,158,"Bellesiles, Michael","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Arming America","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,158,"Bellesiles, Michael","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Arming America","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,331,"Bahal, Aniruddha","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Bunker 13","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,346,"Schindel, John","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Busy Penguins","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,627,"Anderson, Hans Christian","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Emperor's New Clothes, The","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,747,"Davis, Jim","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Garfield: His Nine Lives","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,779,"Norman, Howard","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Girl Who Dreamed Only Geese and Other Stories of the Far North, The","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,1061,"Park, Barbara","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Junie B. Jones is Captain Field Day","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,1083,"de Haan, Linda","CO",0,10346.5,8.67627013630731,1800,0,0,1,0,"King & King","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,1,1105,"Lussier, Paul","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Last Refuge of Scoundrels","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,1564,"Dahl, Tessa","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Same But Different, The","not_rmvd",2004-12-05,2004,12,1
0,0,-0.2,0,7.33804213135069,0,1620,"White, Stever & David Weber","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Shiva Option, The","not_rmvd",2004-12-05,2004,12,1
