"","IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","tag","TARGET_TAG"
"39",39,NA,11.6,0.32,0.55,-50.9,0.076,35,83,1.0002,3.32,2.18,-0.5,0,12,2,"test",NA
"40",40,4,5.7,0.25,0.27,10.8,0.05,58,-243,0.95643,3.1,-0.21,9.8,0,6,3,"train","yes"
"41",41,0,22.2,0.34,0.49,89.7403981794126,-0.073,56,348,0.99967,4.08,0.66,6.5,-1,14,1,"train","no"
"42",42,0,-3.8,-0.28,-1.2,16.2,0.048,44,147,0.9972,3.3,0.52,2.1,0,6,3,"train","no"
"43",43,3,7.9,0.38,1.45,-8,-0.24,21,138,0.99796,3.52,-0.01,15.9,0,9,1,"train","yes"
"44",44,4,7.9,-0.56,-0.72,58.8,0.92,127,318,0.99904,3.05,1.30628235399197,9.8,1,8,1,"train","yes"
"45",45,5,14.8,1.17,-0.09,1.5,0.027,-166,504.378597801609,0.99,3.3,0.33,12.5,0,8,2,"train","yes"
"46",46,0,-2.9,1.035,-1.11,6,0.073,-207,54,1.03291,3.37,1.42940022657743,9.9,1,10,2,"train","no"
"47",47,NA,3.8,0.22,0.31,-7.7,0.039,40,129,0.9061,4.72,-0.64,10.9,0,7,2,"test",NA
"48",48,4,28.9,-0.51,0.49,59.6,0.055,-20,188,0.99066,1.3501530151519,0.91,11,0,8,2,"train","yes"
"49",49,0,6.9,0.3,0.29,1.3,0.226417885521684,24,189,1.02393,3.29,-0.83,-3.1,1,7,1,"train","no"
"50",50,4,3.1,1.65,-2.75,9.2,-0.002,54,126,0.9893,3.04,-0.543062681298088,9.7,0,8,1,"train","yes"
"51",51,0,3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,0.733448179731927,9.4,0,9,1,"train","no"
"52",52,5,13,0.34,0.46,4.7,0.029,-244,94,1.00111,1.42,1.74,17.3,1,7,2,"train","yes"
"53",53,5,9.3,0.14,-1.03,7.9,-0.379,21,82,1.0241,3.26,-0.38,13.7,1,7,2,"train","yes"
"54",54,1,19.3,1.75,0.36,52.3,0.075,63,48,1.02917,3.34,1.85,13.5,-2,9,1,"train","yes"
"55",55,3,5.8,0.36,0.5,-38.8,-0.291,63,178,1.00091,3.87,0.45,8.8,0,7,1,"train","yes"
"56",56,4,15.5,0.19,0.26,54,0.039,30,-214,0.98998,3.32,1.28760876181789,12.1,0,6,2,"train","yes"
"57",57,4,11,0.23,1.42,37.8,0.035,-63.3274858912653,434,0.9976,3.35,0.52,9.4,0,7,4,"train","yes"
"58",58,0,6.6,0.24,2.32,1.4,-0.356,242,234,1.03659,3.11,0.39,9.9,-1,7,1,"train","no"
"59",59,4,-4.2,0.36,0.26,13.2,0.051,54,201,0.9976,3,1.62,10.8,1,7,1,"train","yes"
"60",60,NA,6.8,1.68,0.44,-13.3,0.046,160.628382319485,583,1.00833,3.48432685549212,1.64,12.6,0,8,1,"test",NA
"61",61,4,7.5,1.43,-1.24,-4.4,0.057,22,-201,0.9938,0.69,1.17,4.7,1,8,2,"train","yes"
"62",62,NA,9,-0.21,0.04,51.4,0.237,-213,-527,0.99516,3.16,0.7,14.7,1,10,3,"test",NA
"63",63,NA,24.6,0.03,-1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,9,2,"test",NA
"64",64,NA,13,0.21,0.32,-3.2,-0.263,111,141,0.95918,3.2,0.584367545850793,4.2,0,8,3,"test",NA
"65",65,0,24.7,1.63,1,1.9,0.846,15,100,0.96939,2.28,0.643553762186909,4,1,14,1,"train","no"
"66",66,0,8,0.42,0.32,2.5,0.601,26,-116,0.99639,3.32,1.99,15.6,0,9,2,"train","no"
"67",67,4,7.1,0.28,0.64,-47.1,0.512,-71.5928642739474,105,0.9972,3.98,-1.06,9.2,1,8,2,"train","yes"
"68",68,NA,17.9,-0.42,-0.91,7.1,0.045,-177,169,0.95307,3.17,-1.12,13.2,-1,9,2,"test",NA
"69",69,3,-4.3,-0.4,0.27,7.1,0.049,205,321,0.99579,3.16,0.38,9.4,1,8,1,"train","yes"
"70",70,3,-3.4,0.28,0.35,2.1,1.197,-29,203,0.95511,3.26,2.14,9.2,-1,7,3,"train","yes"
"71",71,1,6.8,1.94,0.04,3.5,0.532,25,133,1.0354,3.17,-0.56,10.2,-2,7,1,"train","yes"
"72",72,4,15.1,0.44,0.22,4.3,-0.992,-3,99,1.02618,3.26,0.53,5.00814029113739,-1,7,1,"train","yes"
"73",73,2,16,0.23,0.42,-3.8,0.094,49,169,0.99699,3.49,0.9,3.57120464503969,-1,7,1,"train","yes"
"74",74,4,6.2,0.16,0.26,-12.05,-0.204,208,220,0.99622,3.51519542202665,0.58,10.6,0,7,2,"train","yes"
"75",75,NA,10,0.2,1.27,30.9,0.05,19,152,0.994,2.81448604361004,0.42,13.8,-1,11,2,"test",NA
"76",76,NA,7.4,0.29,0.5,8.5,-0.48,178,647,0.97275,3.45,0.5,10.2,-1,8,1,"test",NA
"77",77,3,16.9,0.19,0.41,-36.7,0.046,51,169,0.9954,3.14,1.65,9.8,-1,7,1,"train","yes"
"78",78,0,5.8,-0.68,3.26,-11.4,0.056,23,65,0.99755,4.12,-0.34,9.7,-2,6,1,"train","no"
"79",79,0,14.6,0.54,0.52,8.6,0.088,-124,48,0.9981,2.42,1.76376505637392,4.2,1,9,1,"train","no"
"80",80,4,7,-0.06,-1.57,-41.4,0.319619062072051,29,-71,0.99977,2.51,0.49,16.7,0,8,3,"train","yes"
"81",81,2,-2.9,0.54,0.03,48.9,0.094,41,110,0.9982,4,0.8,9.2,-1,10,1,"train","yes"
"82",82,1,6.3,0.24,0.06,1.8,0.88,6,-530,0.97646,4.22,-1.11,12.2,-2,7,1,"train","yes"
"83",83,NA,11.7,1.18,-0.94,-62,0.675,7,-393,0.99974,3.96,0.69,5.2,1,13,2,"test",NA
"84",84,0,16.3,0.33,0.49,2.5,0.631,8,-297,1.01598,2.62,0.82,6.3,-1,13,1,"train","no"
"85",85,6,14.7,0.24,0.84,6.4,0.048,143,-196,0.9944,2.46,0.55,10.5,1,7,4,"train","yes"
"86",86,3,-1.5,0.17,0.3,56,0.034,33,125,0.99152,3.55,0.49,5.7,-1,7,3,"train","yes"
"87",87,NA,9.7,0.41,-1,-8.08901830424792,-0.235,24,113,0.99772,3.44,0.53,9.8,0,7,2,"test",NA
"88",88,3,-3.2,0.2,0.37,41.6395210555447,0.535,227,625,0.9738,2.27,0.45,9.10266034845653,0,7,1,"train","yes"
"89",89,5,12.5,0.24,-1,43.6,0.043,32,156,1.03256,4.02,0.07,10.1,1,7,3,"train","yes"
"90",90,4,6.9,2.75,0.33,-16.8,0.249500167965316,-161,158,0.99082,4.14,0.58,16.9,0,7,3,"train","yes"
"91",91,0,7.3,-0.52,-0.97,-36.3,0.048,-255,-779,0.99044,4.04,0.35,12,-1,8,1,"train","no"
"92",92,NA,-5.2,-0.98,-0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,5,3,"test",NA
"93",93,4,8,-0.53,1.53,13.2,0.046,26,113,0.9983,3.23,0.37,8.4,0,9,4,"train","yes"
"94",94,0,10.2,-0.81,0.44,54.5,0.045,21,-609,0.9924,2.79,0.46,8.9,2,8,4,"train","no"
"95",95,2,8.1,-0.46,-0.09,3.3,0.096,26,-160.146305749113,1.00573,3.6,1.18,18.2,0,9,1,"train","yes"
"96",96,1,23.6,0.4,0.5,1,-0.354,174,489,0.99013,3.66,0.42,15.4,-2,7,1,"train","yes"
"97",97,1,6.1,-1.17,0.96,18.15,0.097,41,146,1.00278,3.3,-0.2,11.5,-2,7,1,"train","yes"
"98",98,NA,7.3,0.19,0.49,-35.55,0.38,-75,343,0.9998,3.42,0.36,13.3,-2,8,2,"test",NA
"99",99,4,7,0.73,-0.92,8,1.185,-169,164,0.97963,4.34,-0.62,9,0,8,1,"train","yes"
"100",100,3,9.4,1.45,-1.04,1.6,0.045,42,408,0.99534,4.19,-1.09,6.9,0,10,3,"train","yes"
"101",101,5,4.2,0.69,0.58,-24.3,0.188,104,161,0.954,3.06,0.41,13.1,1,9,1,"train","yes"
"102",102,5,17.2,0.37,1.72,-54.7,0.028,24,84,0.9909,2.75,0.18,11.7,1,7,3,"train","yes"
"103",103,0,7.9,0.04,-0.22,-9.7,0.628,66,195,0.99413,3.04,0.576515310749352,11,-1,9,1,"train","no"
"104",104,4,11.8,-0.88,0.26,6.8,0.298,36,120,0.96461,3.82668179696686,0.32,5.6,0,6,1,"train","yes"
"105",105,7,7.4,0.19,-0.65,12.8,0.053,48.5,-95,0.99778,4.02,1.89,2.7,2,8,3,"train","yes"
"106",106,NA,6.7,-0.78,0.31,16.4,-0.03,20,-16,0.99834,3.11,-0.57,9.1,0,7,3,"test",NA
"107",107,NA,4.1,0.54,-0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,8,4,"test",NA
"108",108,5,-1.5,0.43,1.58,2.4,0.214,-388,-76.7743565619172,0.9994,3.24,1.77,11.2,1,11,3,"train","yes"
"109",109,0,6.5,0.29,-0.7,-3.4,0.142,228,-18,0.9927,3.49,1.98,9.9,1,7,2,"train","no"
"110",110,4,2.9,0.63,1.63,14.0624636892243,0.327,24,285.23263096457,0.9917,3.19,0.48,10.5,0,7,2,"train","yes"
"111",111,5,-3.5,0.27,-1.04,-32.9950008135426,-0.162348291599049,352,175,1.03574,3.16,0.34,10.8,1,7,3,"train","yes"
"112",112,3,13.2,0.845,0.01,-25.6,0.172,-117,53,1.00888,3.32,0.5,11,1,9,1,"train","yes"
"113",113,NA,6.5,1.53,0.84,-14.4,0.047,54,184,0.9461,3.17,-0.56,9.2,-1,7,1,"test",NA
"114",114,4,-2.7,0.18,0.31,32.1,0.216,20,210,0.96244,3.84,-0.21,10.8,-1,8,3,"train","yes"
"115",115,3,-11.7,-0.83,-0.43,2.4,-0.137,-84,415.246466136239,0.992,3.25,0.17,10.4,-1,6,3,"train","yes"
"116",116,0,12.4,0.38,1.7,2,0.08,-173,-207,0.9961,1.03,0.86,9.34311046297656,1,8,4,"train","no"
"117",117,4,-4.5,0.43,0.35,21.3,0.489,264,-140,0.95018,3.37,0.5,14.7,1,7,1,"train","yes"
"118",118,3,3.7,0.24,0.31,13.1,0.05,26,180,0.94955,3.05,0.53,10.4,-1,8,3,"train","yes"
"119",119,2,15.4,-0.32,0.99,18.2,0.044,38,-113,1.00467,3.84,0.6,6.9,-1,6,1,"train","yes"
"120",120,NA,11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,7,2,"test",NA
"121",121,0,0.6,3.06,0.42,-19,-0.009,3,-147,0.99506,2.83,1.51,12.3,2,9,4,"train","no"
"122",122,3,8.4,0.785,0.77,-5.5,-0.541,23,431,0.98981,3.85,-0.65,11.1,-1,5,3,"train","yes"
"123",123,NA,-5,0.16,0.78,1.4,-0.898,10,67,0.94608,2.5,0.41,9.4,2,7,2,"test",NA
"124",124,3,-1.3,0.64,0.3,2.25,-0.034,8,0.635978389131736,0.93293,2.72,0.62,9.9,-1,7,1,"train","yes"
"125",125,NA,8.3,0.26,1.93,-12.7,0.042,41,479,0.99869,3.1,1.66,12,-1,9,2,"test",NA
"126",126,NA,3.3,0.23,-1.39,1.8,0.043,-183,69,0.9933,3.38,0.31,10.8,1,6,4,"test",NA
"127",127,4,7.2,0.15,1.42,38.4,0.038,-66.0379433231288,110,1.00899,4.72,0.43,12.6,0,8,2,"train","yes"
"128",128,NA,8.7,0.3,0.3,-4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,8,4,"test",NA
"129",129,NA,1.2,1.01,0.32,10.3958416879093,0.038,-345,277,0.99074,4.29,-1.02,9,-1,7,1,"test",NA
"130",130,0,9.1,-0.2,1.73,2,0.124,172,25,0.99516,2.69,0.899196200875418,16,0,10,2,"train","no"
"131",131,NA,7,0.21,0.49,15.466887493375,-0.066,400,-239,0.95914,2.74027908060503,1.52558981611037,10.8,0,8,3,"test",NA
"132",132,3,13.6,-0.81,1.22,-27.8,0.039,46,11,0.9982,4.16,-1.22,10.6,0,8,1,"train","yes"
"133",133,4,-4.8,-0.5,0.42,37.1,0.028,44,205,0.97409,4.34,2.36,11.3,-1,7,2,"train","yes"
"134",134,1,7.5,-0.42,1.75,3.85,0.546,-217,-160.669130857237,0.95709,2.05,1.91,11.8,-1,8,2,"train","yes"
"135",135,NA,7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,8,1,"test",NA
"136",136,2,6.2,1.4,1.64,15.8,0.057,39,248,1.02858,2.02,1.72,9.2,-1,7,3,"train","yes"
"137",137,4,-10.5,0.27,1.86,-58.8,-0.438,-17,338,0.94096,3.24,0.95,12.633333333,0,7,2,"train","yes"
"138",138,3,7.8,0.13,0.29,5.3,0.051,-47,545,0.94397,2.77,-1.25,7.4,-1,7,1,"train","yes"
"139",139,5,7.2,0.72,0.51,6.3,-0.083,-156,103,0.95501,3.71,1.03,11.4,0,8,2,"train","yes"
"140",140,3,4,1.04,0.19,43.3,0.05,294,174,1.01533,3.09,2.89,11.5,-1,8,2,"train","yes"
"141",141,NA,-5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,7,3,"test",NA
"142",142,3,7.4,0.37,-0.48,-25.6,0.305,46,233,1.03005,3.06,0.46,10.3,0,8,1,"train","yes"
"143",143,4,12.2,0.19,1.1,11.2,0.061,-63,-148,0.97994,2.99,-0.38,9.3,0,8,2,"train","yes"
"144",144,0,7.6,1.7,-1.03,3.4,0.048,-224,116,0.9944,4.25,0.41,9.4,0,8,2,"train","no"
"145",145,0,1.9,0.47,-0.86,-58.1,0.174,24,37,0.99514,3.38574102898106,0.61,10.9,-1,8,1,"train","no"
"146",146,0,-3,0.22,1.22,-50.4,0.26,36,-207,1.03038,2.62,2.1,11,-1,6,1,"train","no"
"147",147,NA,-3.9,0.74,-0.95,11.7,0.4,293,185,0.99266,3.28,-2.01,16.4,0,7,1,"test",NA
"148",148,NA,8,-0.41,0.57,10.4,0.585,176,134,0.98409,3.12,-0.35,10.7,-1,9,2,"test",NA
"149",149,0,8.4,0.39,0.1,1.7,0.075,-153,25,0.99581,3.09,0.43,9.7,-1,9,1,"train","no"
"150",150,4,-5.6,0.22,1.87,59.8,0.192032224611428,15,104,1.03646,4.23,0.42,8.7,1,7,2,"train","yes"
"151",151,NA,6.7,0.14,0.49,1.4,-0.233,6,-77,1.01696,2.92,0.42,10.8,0,7,2,"test",NA
"152",152,6,5.6,0.03,-1.22,-7.3,0,88,-57,1.03205,3.25,1.98,14.6946081828636,2,6,2,"train","yes"
"153",153,5,19.8,0.32,0.33,0.7,0.027,488,66,1.02566,3.11,3.65,11.8,1,7,2,"train","yes"
"154",154,5,7.1,0.21,0.32,2.2,0.098,28,141,0.993,4.34,-1.03,10,0,8,1,"train","yes"
"155",155,2,13.8,0.23,0.42,-46.3,-0.432,14.1173425083715,-83,0.99318,3.41,0.709067972969905,10.6,-1,8,2,"train","yes"
"156",156,NA,6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,7,1,"test",NA
"157",157,NA,6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,7,3,"test",NA
"158",158,5,8.8,-0.73,1.41,4,0.595,30,69,0.99787,3.47,-1.46033180316424,12.0702929731788,1,10,2,"train","yes"
"159",159,4,5.8,-0.91,0.1,47.2,0.044,-238,63,1.02787,3.01,1.43746494275688,6.4,1,7,1,"train","yes"
"160",160,4,-0.2,0.16,-0.69,27.6,0.056,33,549,0.99825,2.9,0.44,6.1,-1,8,2,"train","yes"
"161",161,1,7.3,0.38,-1.08,6.5,0.271,482,102,0.99304,2.85,0.55,16.1,-1,8,1,"train","yes"
"162",162,2,5.8,0.18,0.21,6.6,-0.214611336836226,50,726,0.94294,3.29,0.62,10,-1,6,2,"train","yes"
"163",163,3,3.4,0.29,0.38,1.2,-0.65,237,-107,1.03069,3.28,0.36,18.2,-1,6,2,"train","yes"
"164",164,4,-11,0.38,0.26,-5.40610146810025,0.035,167,-118,0.97228,3.18,0.47,13.6,-1,7,2,"train","yes"
"165",165,2,9,-0.94,-0.81,67.2,0.499,58,464,0.99776,3.57850554435967,-0.21,9,-1,8,1,"train","yes"
"166",166,2,17.3,1.25,1.3,35.15,0.031,33,631,0.99296,3.92,-1.05,5.3,-2,7,2,"train","yes"
"167",167,4,2.1,1.65,0.27,10.9,-0.306,29,130,0.99496,2.51,0.77,2,-1,7,1,"train","yes"
"168",168,5,16.8,0.96,0.32,59.2,0.419,22,251,0.99072,3,0.37,11.1,0,7,1,"train","yes"
"169",169,5,7.2,0.2,1.44,46.6,0.028,-136,103,0.97085,2.17,-1.23868634120324,9.2,1,8,3,"train","yes"
"170",170,6,15,2.01,1.18,-38.7,-0.286,17,158,1.00364,2.53,0.74,17.4,1,9,1,"train","yes"
"171",171,5,3.2,0.52,0.36,1.5,0.12440503749659,90,121,0.98976,4.31,1.29,18.3,0,6,3,"train","yes"
"172",172,4,3.1,0.25,0.28,7.7,0.871,402,132,1.045,1.85,0.254832272959644,9.4,0,7,3,"train","yes"
"173",173,0,11.2,1.19,-0.09,2.2,0.219,-172,28,0.99486,3.31,0.75,12.6,-1,10,1,"train","no"
"174",174,NA,5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,6,2,"test",NA
"175",175,2,6.6,-0.93,0.53,12.3128665382859,-0.024,22,-622,1.00314,2.94,0.35,9.4,-1,7,2,"train","yes"
"176",176,4,-2.1,0.24,1.27,10.3,0.18,12,-27,0.96793,3.49401315652864,-1.03049056280286,8.1,0,9,3,"train","yes"
"177",177,4,-2.7,3.06,1.59,4.9,0.028,25,-4,0.9922,3.68,0.49,16.8,-1,6,4,"train","yes"
"178",178,4,5.8,-0.74,0.15,1.1,0.414,26,83,0.97401,2.77,0.4,11.4,0,6,2,"train","yes"
"179",179,0,10,0.93,-0.62,1.9,0.08,-462,-172,1.02107,3.13,0.55,9.5,1,11,4,"train","no"
"180",180,4,14.6,0.38,1.51,73.7,-0.271,-51,137,1.01893,4.02,1.98,12.1,0,8,3,"train","yes"
"181",181,4,1.5,0.63,0.32,6.4,0.034,-251,-204,0.9924,3.23,-0.25,11.8,0,8,2,"train","yes"
"182",182,2,6.6,0.13,1.27,-15.1,0.04,-115,179,0.9955,4.23,0.41,9,-1,8,2,"train","yes"
"183",183,0,7.5,0.065,0.1,13,0.228,93,131.982515554704,0.99741,3.1,0.5,3.2,1,8,1,"train","no"
"184",184,5,2.9,-0.84,0.27,1.6,-0.336,312,98,0.99299,3.29,0.44,3.2,0,8,1,"train","yes"
"185",185,4,8.2,0.34,-0.95,-21,0.028,103.227193941848,100,0.98958,3.2,1.77,13.2,-1,8,2,"train","yes"
"186",186,NA,7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,9,1,"test",NA
"187",187,5,8.2,0.53,0.38,-40.3,0.245795484684338,-286,-275,0.99062,2.88,0.6,18.3,1,9,3,"train","yes"
"188",188,3,8.3,1.21,0.34,7.8,-0.399,84,-166,0.97462,3.21,-0.75,17.5,-1,8,1,"train","yes"
"189",189,4,7.2,-0.72,0.15,55.7977000262373,0.012,10,-49,0.99609,2.95,0.821190293795957,13.7,0,8,4,"train","yes"
"190",190,5,9.3,0.19,0.29,-51.1,0.042,44,189,0.99304,3.99,-0.75,10.3,1,7,3,"train","yes"
"191",191,3,1.6,0.33,0.31,7.7,-0.175,307,-21,0.99226,3.11,0.24,8.8,0,8,2,"train","yes"
"192",192,5,10.7,0.63,1.18,55.6,-0.399,14,-123,0.99522,2.3,2.2315813295917,15.5,1,8,2,"train","yes"
"193",193,NA,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,7,1,"test",NA
"194",194,4,6.2,1.53,0.32,1.1,0.115,74,66,0.99096,2.25,-0.81,8.9,0,7,2,"train","yes"
"195",195,NA,1.2,0.3,0.21,-27.85,-0.106671030476795,33,153,0.99244,3.96,1.06,11.2717502867677,0,8,2,"test",NA
"196",196,3,13.8,-0.29,0.36,-13.9,0.447,291,-140,0.96793,3.25,0.63,7,-1,8,1,"train","yes"
"197",197,3,7.2,0.16,0.32,-44.9,0.04,50,-150,1.0458,3.27,0.96,10,-1,8,2,"train","yes"
"198",198,3,-0.8,-0.56,0.42,2.3,-0.139,-453,-718,0.9972,4.15,-0.65,10.9,-1,8,2,"train","yes"
"199",199,3,7.7,-2.54,0.35,15.3,0.638,74,148,0.99628,1.9,2.02,15.3,0,8,1,"train","yes"
"200",200,4,0.4,-0.14,0.04,48.4,0.444,23,-30,0.99228,4.43,0.61,9.9,0,7,3,"train","yes"
"201",201,2,6.3,-2.39,-0.24,1.5,-0.415,-122.486025184499,-448,0.99238,4.05,-0.01,14.5,-1,7,1,"train","yes"
"202",202,3,-0.5,0.91,-2.16,88.1,0.036,250,451,1.04541,3.47,-0.66,9.1,-1,7,1,"train","yes"
"203",203,5,13.8,-1.07,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,1,8,3,"train","yes"
"204",204,2,8.9,0.27,1.26,10.7,-0.432,19.5,166,0.99669,3.13,0.48,16.8,-1,10,2,"train","yes"
"205",205,4,16.2,-1.22,0.26,11,0.03,2,82,0.99402,1.9,0.36,11.2,1,7,4,"train","yes"
"206",206,5,-14.4,0.155,1.43,-41,0.025,357.5,637,0.9934,3.18,0.61,3.9,0,8,3,"train","yes"
"207",207,4,8.7,1.225,-1.47,47.2,0.09,4,11,0.99745,3.31,1.59,7.75220249137285,1,9,1,"train","yes"
"208",208,4,6.1,0.5,0.38,-19.4,0.144,-10,65,1.01902,5.14,0.64,11.4,0,7,3,"train","yes"
"209",209,7,17.8,0.21,-0.15,40.2812141983101,0.034,138,118,0.9917,3.3,0.73181237972525,11.2,1,8,4,"train","yes"
"210",210,3,7.4,0.01,1.42,8.4,-0.251,52,571,1.03166,3.09,-1.38,8.8,0,8,2,"train","yes"
"211",211,0,14.6,0.55,-0.28,-13.4005691323249,0.149,15,-208,0.9959,2.14,1.99242545484674,9.7,0,8,2,"train","no"
"212",212,NA,8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,9,1,"test",NA
"213",213,NA,8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,9,2,"test",NA
"214",214,3,3.2,-0.63,-0.95,13.4,-0.336,50,191,0.9989,3.22,0.53,9,1,8,1,"train","yes"
